sample_idx,token,gold_coarse,gold_name,upos
122,other,2,ADJ,ADJ
1530,good,2,ADJ,ADJ
419,new,2,ADJ,ADJ
1876,more,2,ADJ,ADJ
388,many,2,ADJ,ADJ
7339,great,2,ADJ,ADJ
473,same,2,ADJ,ADJ
1450,best,2,ADJ,ADJ
608,last,2,ADJ,ADJ
7384,sure,2,ADJ,ADJ
693,few,2,ADJ,ADJ
1523,little,2,ADJ,ADJ
412,United,2,ADJ,ADJ
741,first,2,ADJ,ADJ
4793,next,2,ADJ,ADJ
1986,much,2,ADJ,ADJ
1087,own,2,ADJ,ADJ
458,better,2,ADJ,ADJ
4025,New,2,ADJ,ADJ
2,American,2,ADJ,ADJ
423,old,2,ADJ,ADJ
2028,able,2,ADJ,ADJ
3012,such,2,ADJ,ADJ
8129,long,2,ADJ,ADJ
363,small,2,ADJ,ADJ
1984,least,2,ADJ,ADJ
1065,different,2,ADJ,ADJ
6480,possible,2,ADJ,ADJ
764,most,2,ADJ,ADJ
5735,bad,2,ADJ,ADJ
2063,free,2,ADJ,ADJ
21252,nice,2,ADJ,ADJ
382,National,2,ADJ,ADJ
3704,only,2,ADJ,ADJ
1640,military,2,ADJ,ADJ
1209,real,2,ADJ,ADJ
5070,full,2,ADJ,ADJ
507,several,2,ADJ,ADJ
149,big,2,ADJ,ADJ
1867,Indian,2,ADJ,ADJ
12765,due,2,ADJ,ADJ
44191,Great,2,ADJ,ADJ
59,high,2,ADJ,ADJ
17451,available,2,ADJ,ADJ
22294,helpful,2,ADJ,ADJ
26,Iraqi,2,ADJ,ADJ
1700,right,2,ADJ,ADJ
4390,happy,2,ADJ,ADJ
5492,important,2,ADJ,ADJ
10684,friendly,2,ADJ,ADJ
1021,whole,2,ADJ,ADJ
1952,hard,2,ADJ,ADJ
7359,excellent,2,ADJ,ADJ
1220,former,2,ADJ,ADJ
1239,early,2,ADJ,ADJ
1754,political,2,ADJ,ADJ
2092,international,2,ADJ,ADJ
24843,Best,2,ADJ,ADJ
18171,easy,2,ADJ,ADJ
5411,fine,2,ADJ,ADJ
5412,young,2,ADJ,ADJ
7740,large,2,ADJ,ADJ
4272,second,2,ADJ,ADJ
358,legal,2,ADJ,ADJ
581,open,2,ADJ,ADJ
5400,natural,2,ADJ,ADJ
21233,Good,2,ADJ,ADJ
1213,certain,2,ADJ,ADJ
1424,interested,2,ADJ,ADJ
1850,strong,2,ADJ,ADJ
2091,local,2,ADJ,ADJ
195,main,2,ADJ,ADJ
430,recent,2,ADJ,ADJ
1854,final,2,ADJ,ADJ
4084,human,2,ADJ,ADJ
1621,close,2,ADJ,ADJ
1674,major,2,ADJ,ADJ
2124,likely,2,ADJ,ADJ
2925,late,2,ADJ,ADJ
11230,global,2,ADJ,ADJ
13745,Egyptian,2,ADJ,ADJ
259,dead,2,ADJ,ADJ
717,public,2,ADJ,ADJ
5193,entire,2,ADJ,ADJ
15387,professional,2,ADJ,ADJ
976,Islamic,2,ADJ,ADJ
10063,short,2,ADJ,ADJ
298,Arab,2,ADJ,ADJ
2560,less,2,ADJ,ADJ
3416,ready,2,ADJ,ADJ
3813,special,2,ADJ,ADJ
7959,amazing,2,ADJ,ADJ
10013,wrong,2,ADJ,ADJ
14460,poor,2,ADJ,ADJ
29235,wonderful,2,ADJ,ADJ
1711,religious,2,ADJ,ADJ
8119,black,2,ADJ,ADJ
13761,personal,2,ADJ,ADJ
29045,clean,2,ADJ,ADJ
1178,Many,2,ADJ,ADJ
49,so,3,ADV,ADV
802,just,3,ADV,ADV
582,when,3,ADV,ADV
109,very,3,ADV,ADV
227,also,3,ADV,ADV
455,only,3,ADV,ADV
547,now,3,ADV,ADV
849,there,3,ADV,ADV
1060,even,3,ADV,ADV
1681,as,3,ADV,ADV
469,then,3,ADV,ADV
663,how,3,ADV,ADV
1337,well,3,ADV,ADV
505,still,3,ADV,ADV
64,back,3,ADV,ADV
311,more,3,ADV,ADV
623,really,3,ADV,ADV
4925,here,3,ADV,ADV
580,out,3,ADV,ADV
522,never,3,ADV,ADV
114,too,3,ADV,ADV
524,where,3,ADV,ADV
501,again,3,ADV,ADV
4028,always,3,ADV,ADV
728,already,3,ADV,ADV
115,much,3,ADV,ADV
1051,most,3,ADV,ADV
1559,in,3,ADV,ADV
806,So,3,ADV,ADV
10929,When,3,ADV,ADV
1612,about,3,ADV,ADV
7422,How,3,ADV,ADV
5065,else,3,ADV,ADV
1324,up,3,ADV,ADV
564,ever,3,ADV,ADV
92,probably,3,ADV,ADV
5758,all,3,ADV,ADV
9029,Also,3,ADV,ADV
1875,far,3,ADV,ADV
2061,away,3,ADV,ADV
2007,actually,3,ADV,ADV
3763,soon,3,ADV,ADV
853,over,3,ADV,ADV
3540,first,3,ADV,ADV
14296,right,3,ADV,ADV
4219,long,3,ADV,ADV
2446,on,3,ADV,ADV
7376,pretty,3,ADV,ADV
11476,down,3,ADV,ADV
1254,However,3,ADV,ADV
13075,why,3,ADV,ADV
399,however,3,ADV,ADV
1039,together,3,ADV,ADV
1267,Here,3,ADV,ADV
21853,below,3,ADV,ADV
371,highly,3,ADV,ADV
1561,almost,3,ADV,ADV
805,ago,3,ADV,ADV
4817,yet,3,ADV,ADV
4822,around,3,ADV,ADV
440,Now,3,ADV,ADV
767,later,3,ADV,ADV
894,once,3,ADV,ADV
6464,forward,3,ADV,ADV
768,though,3,ADV,ADV
2875,often,3,ADV,ADV
3685,currently,3,ADV,ADV
5558,Just,3,ADV,ADV
4633,especially,3,ADV,ADV
5326,Then,3,ADV,ADV
3130,enough,3,ADV,ADV
5714,quite,3,ADV,ADV
5873,extremely,3,ADV,ADV
7313,definitely,3,ADV,ADV
6812,instead,3,ADV,ADV
9006,before,3,ADV,ADV
12240,usually,3,ADV,ADV
2588,recently,3,ADV,ADV
637,Even,3,ADV,ADV
1929,simply,3,ADV,ADV
2525,better,3,ADV,ADV
5160,earlier,3,ADV,ADV
1916,less,3,ADV,ADV
2019,quickly,3,ADV,ADV
6323,rather,3,ADV,ADV
6648,maybe,3,ADV,ADV
407,no,3,ADV,ADV
13113,fully,3,ADV,ADV
165,home,3,ADV,ADV
4126,perhaps,3,ADV,ADV
408,longer,3,ADV,ADV
1683,nearly,3,ADV,ADV
1961,further,3,ADV,ADV
385,hard,3,ADV,ADV
5081,immediately,3,ADV,ADV
10802,sometimes,3,ADV,ADV
13989,along,3,ADV,ADV
31141,properly,3,ADV,ADV
2570,twice,3,ADV,ADV
18319,somewhere,3,ADV,ADV
45,is,1,AUX,AUX
19,be,1,AUX,AUX
186,are,1,AUX,AUX
67,was,1,AUX,AUX
18,will,1,AUX,AUX
620,can,1,AUX,AUX
247,have,1,AUX,AUX
51,would,1,AUX,AUX
101,do,1,AUX,AUX
394,has,1,AUX,AUX
248,been,1,AUX,AUX
812,'s,1,AUX,AUX
37,were,1,AUX,AUX
174,could,1,AUX,AUX
471,should,1,AUX,AUX
6646,am,1,AUX,AUX
1104,may,1,AUX,AUX
1576,'m,1,AUX,AUX
468,did,1,AUX,AUX
6642,'ll,1,AUX,AUX
38,being,1,AUX,AUX
30,had,1,AUX,AUX
659,does,1,AUX,AUX
6890,'ve,1,AUX,AUX
10707,'re,1,AUX,AUX
1479,Do,1,AUX,AUX
526,might,1,AUX,AUX
2486,ca,1,AUX,AUX
11843,s,1,AUX,AUX
2277,Can,1,AUX,AUX
1342,must,1,AUX,AUX
6583,'d,1,AUX,AUX
415,wo,1,AUX,AUX
7435,Is,1,AUX,AUX
